state,zipcode,taxRegionName,stateRate,estimatedCombinedRate,estimatedCountyRate,estimatedCityRate,estimatedSpecialRate,riskLevel
PR,00930,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00931,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00933,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00934,"GUAYNABO CO",0.105,0.115,0.01,0,0,1
PR,00935,"PUERTO RICO",0.105,0.105,0,0,0,1
PR,00936,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00937,"PUERTO RICO",0.105,0.105,0,0,0,1
PR,00939,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00940,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00949,"TOA BAJA CO",0.105,0.115,0.01,0,0,1
PR,00950,"TOA BAJA CO",0.105,0.115,0.01,0,0,1
PR,00951,"TOA BAJA CO",0.105,0.115,0.01,0,0,1
PR,00952,"TOA BAJA CO",0.105,0.115,0.01,0,0,1
PR,00953,"TOA ALTA CO",0.105,0.115,0.01,0,0,1
PR,00954,"CAYEY CO",0.105,0.115,0.01,0,0,1
PR,00955,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00956,"BAYAMON CO",0.105,0.115,0.01,0,0,1
PR,00957,"BAYAMON CO",0.105,0.115,0.01,0,0,1
PR,00958,"BAYAMON CO",0.105,0.115,0.01,0,0,1
PR,00959,"BAYAMON CO",0.105,0.115,0.01,0,0,1
PR,00960,"BAYAMON CO",0.105,0.115,0.01,0,0,1
PR,00961,"BAYAMON CO",0.105,0.115,0.01,0,0,1
PR,00962,"CATANO CO",0.105,0.115,0.01,0,0,1
PR,00963,"CATANO CO",0.105,0.115,0.01,0,0,1
PR,00965,"GUAYNABO CO",0.105,0.115,0.01,0,0,1
PR,00966,"GUAYNABO CO",0.105,0.115,0.01,0,0,1
PR,00968,"GUAYNABO CO",0.105,0.115,0.01,0,0,1
PR,00969,"GUAYNABO CO",0.105,0.115,0.01,0,0,1
PR,00970,"GUAYNABO CO",0.105,0.115,0.01,0,0,1
PR,00971,"GUAYNABO CO",0.105,0.115,0.01,0,0,1
PR,00975,"PUERTO RICO",0.105,0.105,0,0,0,1
PR,00976,"TRUJILLO ALTO CO",0.105,0.115,0.01,0,0,1
PR,00977,"TRUJILLO ALTO CO",0.105,0.115,0.01,0,0,1
PR,00978,"TRUJILLO ALTO CO",0.105,0.115,0.01,0,0,1
PR,00979,"CAROLINA CO",0.105,0.115,0.01,0,0,1
PR,00981,"CAROLINA CO",0.105,0.115,0.01,0,0,1
PR,00982,"CAROLINA CO",0.105,0.115,0.01,0,0,1
PR,00983,"CAROLINA CO",0.105,0.115,0.01,0,0,1
PR,00984,"CAROLINA CO",0.105,0.115,0.01,0,0,1
PR,00985,"CAROLINA CO",0.105,0.115,0.01,0,0,1
PR,00986,"CAROLINA CO",0.105,0.115,0.01,0,0,1
PR,00987,"CAROLINA CO",0.105,0.115,0.01,0,0,1
PR,00988,"CAROLINA CO",0.105,0.115,0.01,0,0,1
MA,01001,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01002,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01003,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01004,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01005,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01007,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01008,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01009,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01010,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01011,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01012,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01013,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01014,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01020,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01021,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01022,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01026,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01027,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01028,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01029,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01030,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01031,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01032,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01033,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01034,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01035,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01036,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01037,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01038,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01039,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01040,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01041,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01050,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01053,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01054,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01056,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01057,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01059,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01060,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01061,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01062,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01063,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01066,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01068,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01069,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01070,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01071,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01072,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01073,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01074,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01075,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01077,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01079,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01080,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01081,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01082,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01083,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01084,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01085,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01086,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01088,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01089,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01090,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01092,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01093,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01094,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01095,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01096,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01097,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01098,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01101,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01102,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01103,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01104,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01105,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01106,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01107,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01108,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01109,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01111,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01115,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01116,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01118,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01119,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01128,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01129,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01138,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01139,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01144,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01151,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01152,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01199,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01201,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01202,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01203,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01220,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01222,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01223,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01224,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01225,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01226,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01227,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01229,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01230,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01235,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01236,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01237,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01238,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01240,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01242,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01243,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01244,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01245,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01247,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01252,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01253,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01254,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01255,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01256,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01257,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01258,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01259,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01260,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01262,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01263,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01264,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01266,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01267,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01270,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01301,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01302,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01330,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01331,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01337,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01338,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01339,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01340,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01341,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01342,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01343,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01344,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01346,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01347,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01349,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01350,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01351,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01354,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01355,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01360,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01364,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01366,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01367,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01368,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01370,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01373,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01375,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01376,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01378,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01379,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01380,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01420,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01430,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01431,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01432,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01434,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01436,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01438,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01440,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01441,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01450,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01451,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01452,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01453,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01460,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01462,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01463,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01464,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01467,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01468,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01469,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01470,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01471,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01472,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01473,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01474,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01475,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01501,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01503,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01504,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01505,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01506,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01507,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01508,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01509,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01510,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01515,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01516,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01517,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
MA,01518,"MASSACHUSETTS STATE",0.0625,0.0625,0,0,0,0
